Año,Presupuesto_total
1,52126111
2,73686368
3,78195452
4,111985688
5,118377778
6,93185863
7,86279014
8,101353955
9,98809821
10,64334526
11,99869161
12,119299397
13,65943386
14,70327025
15,67449150
16,48290476
17,68941480
18,41831446
19,63437194
20,35476746
21,108292663
22,39107569
23,60006580
24,87605937
25,63506422
26,90472570
27,68602476
28,112895714
29,79556718
30,84242013
31,118505436
32,79064610
33,35129467
34,119283023
35,118582740
36,41210209
37,115815916
38,70194275
39,71655377
40,67212751
41,79781590
42,33294249
43,36152742
44,76062367
45,66484718
46,102641575
47,61056564
48,39356337
49,35837098
50,89824950
51,40998427
52,54474082
53,75093535
54,34382607
55,55082676
56,62832838
57,93151020
58,112561619
59,44951806
60,37468929
61,39258575
62,38220049
63,115107332
64,85707331
65,110227834
66,59959001
67,116581471
68,74466515
69,40327830
70,75545015
71,31374723
72,30956554
73,37053420
74,63712629
75,83760727
76,111715831
77,97680718
78,36439739
79,73076779
80,34696792
81,99678627
82,103808267
83,101506001
84,100362985
85,92530913
86,95047900
87,37821586
88,92916696
89,66710948
90,68497859
91,84976242
92,99197799
93,99542510
94,82674569
95,118340111
96,91953837
97,107372231
98,79771186
99,33583612
100,119301249
